Вариант (η_l),Частота (n_l),η_l * n_l,n_l (теор),(n_l - n_l_теор)^2 / n_l_теор
0,9,0,11.659659727867073,0.6066892201949341
1,42,42,54.50615559693867,2.8694727430680285
2,134,268,127.40170242091465,0.3417342948709012
3,216,648,198.52429023214054,1.5383529719881852
4,234,936,232.01354297035596,0.017007677569608134
5,223,1115,216.92170387295914,0.1703180601496531
6,160,960,169.00962263066344,0.48028803735246955
7,122,854,112.86858160644283,0.7387600755800982
8,56,448,65.95424539215884,1.502359715256415
9,26,234,34.257835663283615,1.990547520632906
10,17,170,16.014729114387915,0.060616618058352
11,10,110,6.805916041251356,1.4990153086959928
15,1,15,0.09921592727123432,8.178242828528953
